BANK,IFSC,MICR CODE,BRANCH,CITY,DISTRICT,STATE
SBI,SBIN0000067,799002102,DHARMANAGAR,DHARMANAGAR,NORTH TRIPURA,TRIPURA
SBI,SBIN0000068,759002009,DHENKANAL,DHENKANAL,DHENKANAL,ODISHA
SBI,SBIN0000069,783002102,DHUBRI,DHUBRI,DHUBRI,ASSAM
SBI,SBIN0000070,700002338,DIAMOND HARBOUR,PARGANAS,SOUTH 24 PARGANAS,WEST BENGAL
SBI,SBIN0000071,786002002,DIBRUGARH,DIBRUGARH,DIBRUGARH,ASSAM
SBI,SBIN0000072,797002002,DIMAPUR,DIMAPUR,DIMAPUR,NAGALAND
SBI,SBIN0000073,814002002,DUMKA,DUMKA,DUMKA,JHARKHAND
SBI,SBIN0000074,713002201,DURGAPUR,DURGAPUR,BARDHAMAN,WEST BENGAL
SBI,SBIN0000075,224002071,FAIZABAD,FAIZABAD,FAIZABAD,UTTAR PRADESH
SBI,SBIN0000076,212002002,FATEHPUR,FATEHPUR,FATEHPUR,UTTAR PRADESH
SBI,SBIN0000077,854002302,FORBESGANJ,FORBESGANJ,ARARIA,BIHAR
SBI,SBIN0000078,781002002,GUWAHATI MAIN,GUWAHATI,KAMRUP,ASSAM
SBI,SBIN0000079,823002002,GAYA,GAYA,GAYA,BIHAR
SBI,SBIN0000080,233002002,GHAZIPUR,GHAZIPUR,GAZIPUR,UTTAR PRADESH
SBI,SBIN0000081,815002002,GIRIDIH,GIRIDIH,GIRIDIH,JHARKHAND
SBI,SBIN0000082,783002202,GOALPARA,GOALPARA,GOALPARA,ASSAM
SBI,SBIN0000083,785002102,GOLAGHAT,GOLAGHAT,GOLAGHAT,ASSAM
SBI,SBIN0000084,271002017,GONDA,GONDA,GONDA,UTTAR PRADESH
SBI,SBIN0000085,841002102,GOPALGANJ,GOPALGANJ,GOPALGANJ,BIHAR
SBI,SBIN0000086,273002001,GORAKHPUR,GORAKHPUR,GORAKPUR,UTTAR PRADESH
SBI,SBIN0000087,788002202,HAILAKANDI,HAILAKANDI,HAILAKANDI,ASSAM
SBI,SBIN0000088,844002002,HAJIPUR,HAJIPUR,VAISHALI,BIHAR
SBI,SBIN0000089,210002002,HAMIRPUR,HAMIRPUR,HAMIRPUR,UTTAR PRADESH
SBI,SBIN0000090,825002002,HAZARIBAGH,HAZARIBAGH,HAZARIBAGH,JHARKHAND
SBI,SBIN0000091,700002127,HOWRAH,HOWRAH,HOWRAH,WEST BENGAL
SBI,SBIN0000092,795002002,IMPHAL,IMPHAL,IMPHAL WEST,MANIPUR
SBI,SBIN0000093,700002048,JADAVPUR UNIVERSITY,KOLKATA,KOLKATA,WEST BENGAL
SBI,SBIN0000094,755002100,JAJPUR,JAJPUR,JAJPUR,ODISHA
SBI,SBIN0000095,735002095,JALPAIGURI,JALPAIGURI,JALPAIGURI,WEST BENGAL
SBI,SBIN0000096,831002002,JAMSHEDPUR,JAMSHEDPUR,PURBI SINGHBHUM,JHARKHAND
SBI,SBIN0000097,811002002,JAMUI,JAMUI,JAMUI,BIHAR
SBI,SBIN0000098,741002601,JANGIPUR,JANGIPUR,BIRBHUM,WEST BENGAL
SBI,SBIN0000099,222002002,JAUNPUR,JAUNPUR,JAUNPUR,UTTAR PRADESH
